帧,流量,密度,速度平均值,TPI,>10替换,差分
7790,25,14,12.45066707099278,4.97965286891703,4.97965286891703,-1.1970048886282907
7791,25,13,10.05937770429843,6.17665775754532,6.17665775754532,-0.21698885578374405
7792,25,13,9.6971264991009,6.393646613329064,6.393646613329064,-0.3679417178930775
7793,27,14,8.526742262824722,6.761588331222142,6.761588331222142,1.8289704848868213
7794,28,14,11.27093965662523,4.9326178463353205,4.9326178463353205,0.38234185322021297
7795,28,17,12.16566708061273,4.5502759931151076,4.5502759931151076,0.35943826138113
7796,28,15,13.15227435356746,4.1908377317339776,4.1908377317339776,-1.2753286998630795
7797,28,14,10.0401173414176,5.466166431597057,5.466166431597057,-0.6616273287615186
7798,28,13,8.936642926229995,6.127793760358576,6.127793760358576,-0.17965257441569005
7799,27,13,8.964516997125875,6.307446334774266,6.307446334774266,1.3336287661737538
7800,28,15,10.89036055697306,4.973817568600512,4.973817568600512,-0.478127465031168
7801,28,15,9.891620531003085,5.45194503363168,5.45194503363168,0.7287427725466671
7802,28,16,11.44300329734413,4.723202261085013,4.723202261085013,0.24877032410616806
7803,29,16,11.66268898062886,4.474431936978845,4.474431936978845,0.16526391522161887
7804,29,16,12.10997291878562,4.309168021757226,4.309168021757226,-0.24557692391761154
7805,30,16,11.07514142857686,4.5547449456748375,4.5547449456748375,0.4014826247204262
7806,30,17,12.1457400342708,4.153262320954411,4.153262320954411,-2.067357410926734
7807,30,15,8.091369590616704,6.220619731881145,6.220619731881145,0.9083038812250361
7808,31,16,9.209680402710456,5.312315850656109,5.312315850656109,1.0679040148848928
7809,30,18,11.93726448495318,4.244411835771216,4.244411835771216,-0.6471464908672999
7810,29,14,10.73865057401487,4.891558326638516,4.891558326638516,-0.4975532289059066
7811,32,15,8.910714287205387,5.389111555544423,5.389111555544423,0.8450086026071562
7812,30,14,11.41895098467089,4.5441029529372665,4.5441029529372665,-0.9260024709381556
7813,30,13,9.546840175015163,5.470105423875422,5.470105423875422,-0.7747141611495492
7814,31,13,8.178822161601337,6.244819585024971,6.244819585024971,-0.5299645815992502
7815,31,13,7.618383398850687,6.7747841666242214,6.7747841666242214,0.9951447205350199
7816,33,15,8.458812932002118,5.7796394460892015,5.7796394460892015,0.03891999040700167
7817,33,14,8.604137473579025,5.7407194556822,5.7407194556822,-1.4809044362252273
7818,33,13,6.90966334523553,7.221623891907427,7.221623891907427,-1.0260016262613707
7819,34,13,5.943481276538483,8.247625518168798,8.247625518168798,-0.949055035194247
7820,31,13,5.916113083936733,9.196680553363045,9.196680553363045,2.049807093223044
7821,32,14,7.418745221815457,7.146873460140001,7.146873460140001,-2.0604292527931074
7822,31,13,5.967680033150113,9.207302712933108,9.207302712933108,0.3760405178088746
7823,31,13,6.233963189458417,8.831262195124234,8.831262195124234,-0.4523002748775067
7824,30,13,6.151852943916302,9.28356247000174,9.28356247000174,0.42088424069772756
7825,31,13,6.260395507115132,8.862678229304013,8.862678229304013,0.6292481247322605
7826,30,14,6.990471143199097,8.233430104571752,8.233430104571752,0.1143368626078427
7827,30,13,7.116284547534281,8.11909324196391,8.11909324196391,-1.7905315338743062
7828,31,13,5.631540333290044,9.909624775838216,9.909624775838216,-0.09037522416178412
7829,28,13,4.960698433907988,12.455043399411023,10.0,0.27006058990878046
7830,26,13,6.8517041943267,9.72993941009122,9.72993941009122,0.005581157435926798
7831,25,13,7.129862098036285,9.724358252655293,9.724358252655293,-0.27564174734470726
7832,23,13,7.363778014764687,10.21451096889854,10.0,0.0
7833,22,13,7.840815163085336,10.009781744933385,10.0,0.16887285114620276
7834,22,13,7.983301130837166,9.831127148853797,9.831127148853797,1.5954758826874667
7835,24,15,8.735732259573243,8.23565126616633,8.23565126616633,1.2896480056789832
7836,24,16,10.35767501776218,6.946003260487347,6.946003260487347,0.6558893277998434
7837,27,20,10.1472185046029,6.290113932687504,6.290113932687504,0.30210924618767443
7838,26,18,11.02631752685468,5.9880046864998295,5.9880046864998295,0.14807535974436536
7839,25,17,11.73530183308039,5.839929326755464,5.839929326755464,-0.8678093728744223
7840,26,15,9.804978058083826,6.7077386996298864,6.7077386996298864,0.44496023540766494
7841,27,15,10.11265745629384,6.2627784642222215,6.2627784642222215,0.8396823073976751
7842,29,15,10.87303553841209,5.423096156824546,5.423096156824546,0.08501775873598216
7843,29,14,11.02467411001619,5.338078398088564,5.338078398088564,-0.9588690771289237
7844,28,13,9.64185995726266,6.296947475217488,6.296947475217488,0.6695560555177797
7845,28,14,10.78906391720759,5.627391419699708,5.627391419699708,0.07945074099053606
7846,28,14,10.94357153948733,5.547940678709172,5.547940678709172,-0.9188706124326993
7847,28,13,9.40700611082649,6.466811291141871,6.466811291141871,0.5506655790618451
7848,30,14,9.6346511350478,5.916145712080026,5.916145712080026,0.7668625847794219
7849,30,14,11.11265797734833,5.149283127300604,5.149283127300604,-0.8226769667259353
7850,30,14,9.58181590654948,5.97196009402654,5.97196009402654,-1.3079187330127553
7851,31,13,7.577226439222833,7.279878827039295,7.279878827039295,-0.993105768510028
7852,32,13,6.434094739557806,8.272984595549323,8.272984595549323,2.249285572780609
7853,32,13,8.784746128026866,6.023699022768714,6.023699022768714,-0.5441811979377871
7854,32,15,8.009306640645175,6.567880220706501,6.567880220706501,-0.5269710897437747
7855,32,14,7.399732242826676,7.0948513104502755,7.0948513104502755,-1.3751879831774048
